strategy,droneCount,maxAngle,droneID,timeStamp,x,y
decentralizedWeighted,20,40.0,33436993032,1062,-199.453536987305,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1062,-227.532012939453,-17.4423809051514
decentralizedWeighted,20,40.0,33806091806,1062,-295.180816650391,25.9900932312012
decentralizedWeighted,20,40.0,33990641193,1062,-257.85546875,0.58237719535828
decentralizedWeighted,20,40.0,34175190580,1062,-256.411193847656,46.0929870605469
decentralizedWeighted,20,40.0,34359739967,1062,-263.620574951172,24.0581741333008
decentralizedWeighted,20,40.0,34544289354,1062,-208.488891601563,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1062,-235.048873901367,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1062,-252.111709594727,-36.0658912658691
decentralizedWeighted,20,40.0,35097937515,1062,-233.055023193359,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1062,-243.391082763672,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1162,-187.678024291992,-2.75756978988647
decentralizedWeighted,20,40.0,31960597936,1162,-274.466369628906,-18.8137130737305
decentralizedWeighted,20,40.0,32145147323,1162,-298.763336181641,-27.4630374908447
decentralizedWeighted,20,40.0,32329696710,1162,-272.432464599609,48.3752746582031
decentralizedWeighted,20,40.0,32514246097,1162,-236.710891723633,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1162,-192.971267700195,16.9266109466553
decentralizedWeighted,20,40.0,32883344871,1162,-243.785598754883,-18.0999603271484
decentralizedWeighted,20,40.0,33067894258,1162,-273.340087890625,-53.5943336486816
decentralizedWeighted,20,40.0,33252443645,1162,-250.503173828125,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1162,-194.325317382813,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1162,-227.532012939453,-19.216287612915
decentralizedWeighted,20,40.0,33806091806,1162,-294.278045654297,30.2155570983887
decentralizedWeighted,20,40.0,33990641193,1162,-257.85546875,2.35628271102905
decentralizedWeighted,20,40.0,34175190580,1162,-256.411193847656,51.2212257385254
decentralizedWeighted,20,40.0,34359739967,1162,-263.620574951172,29.1864166259766
decentralizedWeighted,20,40.0,34544289354,1162,-203.36067199707,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1162,-229.920654296875,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1162,-252.111709594727,-30.9808521270752
decentralizedWeighted,20,40.0,35097937515,1162,-227.926803588867,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1162,-238.26286315918,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1261,-182.380065917969,-2.75756978988647
decentralizedWeighted,20,40.0,31960597936,1261,-274.466369628906,-24.1117115020752
decentralizedWeighted,20,40.0,32145147323,1261,-298.763336181641,-32.7610359191895
decentralizedWeighted,20,40.0,32329696710,1261,-272.432464599609,53.6732711791992
decentralizedWeighted,20,40.0,32514246097,1261,-231.412933349609,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1261,-187.673309326172,16.9266109466553
decentralizedWeighted,20,40.0,32883344871,1261,-243.491638183594,-12.1487998962402
decentralizedWeighted,20,40.0,33067894258,1261,-273.340087890625,-58.8923301696777
decentralizedWeighted,20,40.0,33252443645,1261,-245.205215454102,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1261,-189.027359008789,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1261,-223.136825561523,-20.1190662384033
decentralizedWeighted,20,40.0,33806091806,1261,-288.980072021484,30.2155570983887
decentralizedWeighted,20,40.0,33990641193,1261,-257.85546875,7.65427684783936
decentralizedWeighted,20,40.0,34175190580,1261,-256.411193847656,56.5192222595215
decentralizedWeighted,20,40.0,34359739967,1262,-263.620574951172,34.4844131469727
decentralizedWeighted,20,40.0,34544289354,1262,-198.062713623047,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1262,-224.622695922852,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1262,-252.054229736328,-37.1762733459473
decentralizedWeighted,20,40.0,35097937515,1262,-222.628845214844,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1262,-232.964904785156,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1361,-177.380096435547,-2.75756978988647
decentralizedWeighted,20,40.0,31960597936,1361,-274.466369628906,-29.1117153167725
decentralizedWeighted,20,40.0,32145147323,1361,-298.763336181641,-37.7610282897949
decentralizedWeighted,20,40.0,32329696710,1361,-272.432464599609,58.6732635498047
decentralizedWeighted,20,40.0,32514246097,1361,-226.412963867188,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1361,-182.67333984375,16.9266109466553
decentralizedWeighted,20,40.0,32883344871,1361,-243.491638183594,-7.14880084991455
decentralizedWeighted,20,40.0,33067894258,1361,-273.340087890625,-63.8923225402832
decentralizedWeighted,20,40.0,33252443645,1362,-240.20524597168,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1362,-184.027389526367,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1362,-218.136856079102,-20.1190662384033
decentralizedWeighted,20,40.0,33806091806,1362,-283.980010986328,30.2155570983887
decentralizedWeighted,20,40.0,33990641193,1362,-257.85546875,12.6542749404907
decentralizedWeighted,20,40.0,34175190580,1362,-256.411193847656,61.519214630127
decentralizedWeighted,20,40.0,34359739967,1362,-258.620513916016,34.4844131469727
decentralizedWeighted,20,40.0,34544289354,1362,-193.062744140625,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1362,-219.62272644043,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1362,-252.054229736328,-42.1762657165527
decentralizedWeighted,20,40.0,35097937515,1362,-217.628875732422,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1362,-227.964935302734,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1461,-172.37548828125,-2.75756978988647
decentralizedWeighted,20,40.0,31960597936,1461,-274.466369628906,-34.1163482666016
decentralizedWeighted,20,40.0,32145147323,1461,-298.763336181641,-42.7656555175781
decentralizedWeighted,20,40.0,32329696710,1461,-272.432464599609,63.6778907775879
decentralizedWeighted,20,40.0,32514246097,1462,-221.408355712891,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1462,-177.668731689453,16.9266109466553
decentralizedWeighted,20,40.0,32883344871,1462,-243.491638183594,-2.14416694641113
decentralizedWeighted,20,40.0,33067894258,1462,-268.335418701172,-63.8923225402832
decentralizedWeighted,20,40.0,33252443645,1462,-235.200637817383,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1462,-179.02278137207,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1462,-213.132247924805,-20.1190662384033
decentralizedWeighted,20,40.0,33806091806,1462,-278.975341796875,30.2155570983887
decentralizedWeighted,20,40.0,33990641193,1462,-256.188781738281,15.9922409057617
decentralizedWeighted,20,40.0,34175190580,1462,-252.23991394043,62.3525466918945
decentralizedWeighted,20,40.0,34359739967,1462,-253.615859985352,34.4844131469727
decentralizedWeighted,20,40.0,34544289354,1462,-188.058135986328,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1462,-214.618118286133,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1462,-247.882949829102,-43.0095977783203
decentralizedWeighted,20,40.0,35097937515,1462,-212.624267578125,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1462,-222.960327148438,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1562,-171.54216003418,0.57576370239258
decentralizedWeighted,20,40.0,31960597936,1562,-274.466369628906,-39.116340637207
decentralizedWeighted,20,40.0,32145147323,1562,-298.763336181641,-47.7656478881836
decentralizedWeighted,20,40.0,32329696710,1562,-272.432464599609,68.6779022216797
decentralizedWeighted,20,40.0,32514246097,1562,-216.408386230469,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1562,-172.668762207031,16.9266109466553
decentralizedWeighted,20,40.0,32883344871,1562,-240.991653442383,0.35583317279816
decentralizedWeighted,20,40.0,33067894258,1562,-263.335357666016,-63.8923225402832
decentralizedWeighted,20,40.0,33252443645,1562,-230.200668334961,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1562,-174.022811889648,-23.2062854766846
decentralizedWeighted,20,40.0,33621542419,1562,-208.132278442383,-20.1190662384033
decentralizedWeighted,20,40.0,33806091806,1562,-273.975280761719,30.2155570983887
decentralizedWeighted,20,40.0,33990641193,1562,-252.02214050293,15.9922409057617
decentralizedWeighted,20,40.0,34175190580,1562,-247.239944458008,62.3525466918945
decentralizedWeighted,20,40.0,34359739967,1562,-248.61589050293,34.4844131469727
decentralizedWeighted,20,40.0,34544289354,1562,-183.058166503906,35.9650535583496
decentralizedWeighted,20,40.0,34728838741,1562,-209.618148803711,-39.8073425292969
decentralizedWeighted,20,40.0,34913388128,1562,-242.88298034668,-43.0095977783203
decentralizedWeighted,20,40.0,35097937515,1562,-207.624298095703,0.65959888696671
decentralizedWeighted,20,40.0,35282486902,1562,-217.960357666016,17.5095043182373
decentralizedWeighted,20,40.0,31776048549,1664,-170.708831787109,-3.27069115638733
decentralizedWeighted,20,40.0,31960597936,1664,-271.129058837891,-40.7830047607422
decentralizedWeighted,20,40.0,32145147323,1664,-298.763336181641,-52.7695732116699
decentralizedWeighted,20,40.0,32329696710,1664,-272.432464599609,73.6818466186523
decentralizedWeighted,20,40.0,32514246097,1664,-211.404479980469,45.0702247619629
decentralizedWeighted,20,40.0,32698795484,1664,-171.003845214844,19.5261249542236
decentralizedWeighted,20,40.0,32883344871,1664,-235.987747192383,0.35583317279816
decentralizedWeighted,20,40.0,33067894258,1664,-258.331359863281,-63.8923225402832
decentralizedWeighted,20,40.0,33252443645,1664,-225.196762084961,-59.6611709594727
decentralizedWeighted,20,40.0,33436993032,1664,-169.018905639648,-23.2062854766846
